,City,Country,Latitude,Longitude,Temperature,Max_Temp,Min_Temp,Humidity,Cloudiness,Windspeed
0,Butaritari,KI,3.0707,172.7902,301.31,301.31,301.31,65,9,3.3
1,Evensk,RU,61.95,159.2333,285.66,285.66,285.66,50,98,4.35
2,Kapaa,US,22.0752,-159.319,299.99,302.33,298.77,75,1,1.79
3,Vaini,TO,-21.2,-175.2,296.24,296.24,296.24,68,20,3.6
4,Cotonou,BJ,6.3654,2.4183,297.8,297.8,297.8,87,100,5.19
5,Necochea,AR,-38.5473,-58.7368,279.84,279.84,279.84,73,0,4.58
6,Khartoum,SD,15.5518,32.5324,302.16,302.16,302.16,51,0,4.63
7,Jamestown,US,42.097,-79.2353,291.21,292.95,288.44,73,1,3.09
8,Hermanus,ZA,-34.4187,19.2345,284.15,284.76,284.15,95,53,4.0
9,Los Llanos de Aridane,ES,28.6585,-17.9182,291.55,293.01,291.55,93,0,6.17
10,Homer,US,59.6425,-151.5483,286.16,287.62,286.09,94,90,5.66
11,Ushuaia,AR,-54.8,-68.3,280.96,280.96,280.96,76,40,0.0
12,Esperance,AU,-33.8667,121.9,287.79,287.79,287.79,67,0,3.03
13,Vila Praia de Âncora,PT,41.811,-8.8526,290.18,290.99,289.53,94,2,0.4
14,Albany,US,42.6001,-73.9662,290.43,292.12,288.31,83,100,0.92
15,Jalu,LY,29.0331,21.5482,301.91,301.91,301.91,32,0,4.15
16,Novouzensk,RU,50.4592,48.1431,294.25,294.25,294.25,68,82,5.06
17,Skjervøy,NO,70.0311,20.9714,283.26,283.26,283.26,89,100,3.13
18,Imst,AT,47.2684,10.6698,277.04,278.71,273.79,96,100,1.1
19,Ayan,RU,56.45,138.1667,286.73,286.73,286.73,89,91,2.21
20,Fortuna,US,40.5982,-124.1573,286.39,287.51,285.34,72,90,1.34
21,Cayenne,GF,4.9333,-52.3333,297.64,297.64,297.17,89,0,1.03
22,Mnogovershinnyy,RU,53.9353,139.9242,286.45,286.45,286.45,85,100,2.1
23,Batagay,RU,67.6333,134.6333,293.71,293.71,293.71,26,0,2.44
24,New Norfolk,AU,-42.7826,147.0587,285.14,286.87,283.65,64,100,1.34
25,Ilebo,CD,-4.3167,20.5833,294.05,294.05,294.05,38,23,0.41
26,Rikitea,PF,-23.1203,-134.9692,295.98,295.98,295.98,71,7,7.34
27,Kovdor,RU,67.5662,30.4758,279.04,279.04,279.04,90,58,1.76
28,Sioux Lookout,CA,50.1001,-91.917,295.19,295.36,295.19,68,90,0.0
29,Punta Arenas,CL,-53.15,-70.9167,281.21,281.21,280.99,71,0,4.12
